Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Curacao,CUW,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09677124,,89.30480957,,88.29787445,,87.83068848,88.35978699,86.69950867,88.29268646,88.29268646,88.34951782,77.1844635,83.25358582,83.33333588,88.62559509,88.1516571,89.09952545,81.7307663,80.47618866,66.19047546,66.19047546,66.19047546,66.19047546,64.76190186,66.19047546,66.50943756
Cyprus,CYP,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.63440704,,81.8181839,,83.51063538,,83.59788513,84.65608215,79.31034851,79.51219177,82.43902588,82.5242691,83.98058319,77.99043274,80,77.72512054,84.8341217,84.36019135,82.21154022,79.52381134,76.66666412,76.19047546,72.38095093,70.95237732,63.33333206,63.33333206,66.03773499
Czechia,CZE,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.73118591,,70.05347443,,60.63829803,,67.72486877,71.42857361,68.47290802,68.78048706,67.80487823,66.99028778,66.01941681,68.89952087,69.04762268,68.72038269,66.35070801,65.40284729,67.30769348,66.19047546,67.14286041,69.04762268,68.57142639,69.04762268,69.04762268,71.90476227,74.52830505
Germany,DEU,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.08602142,,94.65240479,,93.0851059,,93.12169647,93.12169647,93.59606171,94.14633942,93.17073059,92.23300934,93.20388031,93.30143738,93.33333588,93.3649292,94.31279755,94.31279755,93.75,93.33333588,93.80952454,94.76190186,95.7142868,95.23809814,95.23809814,95.7142868,95.75471497
Djibouti,DJI,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03225899,,32.08555984,,34.04255295,,34.3915329,32.27513123,39.40886688,27.80487823,30.24390221,35.43689346,46.60194016,44.01913834,42.8571434,41.7061615,39.33649445,35.54502487,32.69230652,28.09523773,28.09523773,28.5714283,26.19047546,20.47619057,25.23809433,23.80952454,23.58490562
Dominica,DMA,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10752869,,80.74866486,,81.38298035,,80.42327881,79.36508179,74.87684631,74.63414764,73.65853882,74.27184296,74.27184296,74.64115143,74.2857132,73.4597168,73.4597168,73.93364716,74.03845978,70.95237732,70.95237732,71.90476227,69.52381134,67.61904907,69.52381134,68.57142639,69.3396225
Denmark,DNK,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99.46524048,,99.46808624,,99.47090149,99.47090149,99.50739288,99.02439117,100,100,100,100,100,100,100,100,100,98.57142639,99.52381134,99.04762268,99.52381134,99.52381134,100,100,100
Dominican Republic,DOM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.39785004,,29.41176414,,32.44680786,,39.68254089,28.5714283,32.01970291,28.29268265,27.80487823,24.27184486,26.69902992,22.00956917,20.95238113,21.32701492,19.43128014,20.37914658,22.59615326,20.47619057,22.8571434,23.33333397,22.38095284,23.33333397,25.7142849,30.95238113,37.26415253
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33333206,,22.99465179,,16.48936081,,22.7513237,29.62962914,29.06403923,40.97560883,35.12195206,33.0097084,33.49514389,30.62200928,34.76190567,34.59715652,36.01895905,39.33649445,31.25,30.47619057,30,31.90476227,28.5714283,28.09523773,27.61904716,29.52380943,28.30188751
